"test"," time-1461115964"," time-1461161168"," time-1461161168","range"
"Tests/Benchmarks/esop/ListSort.hs"," 2.6867"," 2.6261"," 1.9055","0"
"Tests/Benchmarks/esop/Toy.hs"," 1.2977"," 1.2601"," 1.2300","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/ANSI.hs"," 1.5467"," 1.5532"," 1.5191","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/CSS.hs"," 1.3829"," 1.4619"," 1.4434","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/ColourHighlight.hs"," 2.4447"," 2.3818"," 2.2727","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/Colourise.hs"," 2.3675"," 2.5275"," 2.5246","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/General.hs"," 0.6943"," 0.7207"," 0.7451","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/InlineCSS.hs"," 1.4792"," 1.4884"," 1.5086","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/MIRC.hs"," 2.9217"," 2.4017"," 1.9565","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/Options.hs"," 0.7494"," 0.7760"," 0.7621","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/Output.hs"," 0.8518"," 0.9108"," 0.8352","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/TTY.hs"," 1.0476"," 1.0724"," 1.0958","0"
"Tests/Benchmarks/hscolour/Setup.hs"," 0.6601"," 0.6743"," 0.6548","0"
"Tests/Benchmarks/icfp_neg/Composition.hs"," 0.7900"," 0.8173"," 0.7574","0"
"Tests/Benchmarks/icfp_neg/Records.hs"," 0.8218"," 0.7976"," 0.7952","0"
"Tests/Benchmarks/icfp_neg/TestM.hs"," 0.7821"," 0.7736"," 0.7585","0"
"Tests/Benchmarks/icfp_neg/WhileM.hs"," 1.0931"," 1.0355"," 0.9588","0"
"Tests/Benchmarks/icfp_pos/Append.hs"," 0.9434"," 0.9779"," 0.9298","0"
"Tests/Benchmarks/icfp_pos/CompareConstraints.hs"," 1.0753"," 1.0970"," 0.8866","0"
"Tests/Benchmarks/icfp_pos/Composition.hs"," 0.8110"," 0.8246"," 0.7566","0"
"Tests/Benchmarks/icfp_pos/Filter.lhs"," 0.8870"," 0.8860"," 0.8736","0"
"Tests/Benchmarks/icfp_pos/FoldAbs.hs"," 5.0266"," 4.9181"," 5.4453","0"
"Tests/Benchmarks/icfp_pos/ICFP15.lhs"," 1.3248"," 1.3142"," 1.2419","0"
"Tests/Benchmarks/icfp_pos/Incr.hs"," 1.1968"," 0.9673"," 1.4134","0"
"Tests/Benchmarks/icfp_pos/Overview.lhs"," 5.5104"," 5.4093"," 5.8916","0"
"Tests/Benchmarks/icfp_pos/Privileges.hs"," 0.7067"," 0.7297"," 0.7252","0"
"Tests/Benchmarks/icfp_pos/TestM.hs"," 0.7423"," 0.7559"," 0.7254","0"
"Tests/Benchmarks/icfp_pos/WhileM.hs"," 0.7822"," 0.7937"," 0.7946","0"
"Tests/Benchmarks/icfp_pos/WhileTest.hs"," 1.2162"," 1.0175"," 0.9628","0"
"Tests/Benchmarks/icfp_pos/dropwhile.hs"," 0.8747"," 0.8529"," 0.8492","0"
"Tests/Benchmarks/text/Data/Text/Array.hs"," 1.5439"," 1.7222"," 1.6942","0"
"Tests/Benchmarks/text/Data/Text/Foreign.hs"," 3.0776"," 3.0272"," 2.5749","0"
"Tests/Benchmarks/text/Data/Text/Fusion/Size.hs"," 1.9838"," 1.5536"," 1.2878","0"
"Tests/Benchmarks/text/Data/Text/Lazy/Encoding.hs"," 7.2732"," 7.3071"," 6.6576","0"
